nds,de,title
Kümmst du huer elk Dag her?,Kommst du hier jeden Tag her?,
Mi is Woter in’t Ohr komen.,Mir ist Wasser ins Ohr gekommen.,
De Dokter hett mien Strott ünnersöcht.,Der Arzt untersuchte meinen Rachen.,
Elkeen hett dat Leeg kennt.,Jeder kannte das Lied.,
Hest du en Vörslag?,Hast du einen Vorschlag?,
"Ik dach, he deed kamen.","Ich dachte, er würde kommen.",
Deit Jüm dat leeg?,Tut es Ihnen leid?,
Verkehrt.,Falsch.,
He unn sowat nicht doot.,Er konnte so etwas nicht tun.,
Dat sünd söss Stünnen Fohrt von Sofia na Varna.,Es ist eine sechsstündige Fahrt von Sofia nach Varna.,
Ik bün krank.,Ich bin krank.,
Nüms kan vüör ’n Dood utkniepen.,Niemand kann den Tod vermeiden.,
Nüms kan vüör ’n Dood utkniepen.,Niemand kann vor dem Tod kneifen.,
Jessie hätt de Inladen gliek annahmen.,Jessie nahm die Einladung gleich an.,
"Se het em alle datt Geld gäven, wat se harrn.","Sie hat ihm all das Geld gegeben, was sie hatte.",
He bekeek em in ’n Spegel.,Er betrachtete ihn im Spiegel.,
He güng dor wöterig von af.,Er ging wütend fort.,
En Banaan smeckt lecker.,Eine Banane ist köstlich.,
Du heckst wat ut.,Du heckst etwas aus.,
Hest du von Tom sien Unfall höört?,Hast du von Toms Unfall gehört?,
"Botter, Brood un grönen Kees; ’keen dat nich seggen kann, is keen echten Frees.","Butter, Brot und grüner Käse: wer das nicht sagen kann, ist kein echter Friese.",
"Lat mi los, du drückst mi de Luft af.","Lasse mich los, du erstickst mich.",
"Ik heff fiev Söhns. Twee sünd Inschenör, een Schoolmeester un de annern beiden sünd Studenten.","Ich habe fünf Söhne. Zwei sind Ingenieure, einer ist Lehrer und die restlichen beiden sind Studenten.",
"Ik kann mien Hannen op ’n Bodden leggen, ahn mien Knee to bögen.","Ich kann meine Handflächen auf den Boden setzen, ohne meine Knie zu beugen.",
Willkommen op de Websteed von ’t Tatoeba-Projekt.,Willkommen auf der Webseite des Tatoeba-Projekts.,
Is he jüst an ’t Lihren?,Ist er gerade am Lernen?,
Du büs en bäten lütten as Tom.,Du bist etwas kleiner als Tom.,
Kannst du üm negen kamen?,Kannst du um neun kommen?,
"Ik keem to laat, üm sien Reed to hören.","Ich kam zu spät, um seine Rede zu hören.",
Ik lehr Koreaansch.,Ich lerne Koreanisch.,
Gest du datt ook in annere Klören?,Hast du das auch in anderen Farben?,
Se hett keen Antwoord von em kregen.,Sie hat keine Antwort von ihm bekommen.,
"He harrn Fleesch, ik harrn man en Knaken.","Er hatte Fleisch, ich hatte nur einen Knochen.",
Wi harrn unverwacht Besöök.,Wir hatten unerwarteten Besuch.,
"Ach, datt Enn gefüll mi gornich.","Ach, das Ende gefiel mir gar nicht.",
Dor geit de Welt ich von ünner.,Davon geht die Welt nicht unter.,
Normalerwies gah ik to Foot na School.,In der Regel gehe ich zu Fuß zur Schule.,
Wo faken sühst du ehr?,Wie oft siehst du sie?,
Ik kööp mien Söcken jümmer poorwies.,Ich kaufe meine Socken immer paarweise.,
Sett jem op de Backplaat un smeer jem mit Eiwitt in.,Lege sie auf ein Backblech und schmiere sie mit Eiweiß an.,
Ik kann so nich leven.,Ich kann so nicht leben.,
So kan ik nech läven.,So kann ich nicht leben.,
Wi sünd mööd un hebbt Dörst.,Wir sind müde und haben Durst.,
Ik heff den Schoolmeester över de Straat gahn sehn.,Ich sah den Lehrer über die Straße gehen.,
"Vergeet nicht, Melk to köpen!","Vergiss nicht, Milch zu kaufen!",
"Dat is jüst dat, wat ik will.","Das ist genau das, was ich wollte.",
Ik harrn giern wat to drinkt.,Ich hätte gern etwas zu trinken.,
Rias hätt ehr Süster en Gaav kofft.,Maria hat ihrer Schwester ein Geschenk gekauft.,
"Enn good, allen good.","Ende gut, alles gut.",
He is twe Toll gröttern as ik.,Er ist fünf Zentimeter größer als ich.,
Woneem is dat Museum?,Wo ist das Museum?,
Wo goot hess du Tom kinnt?,Wie gut kanntest du Tom?,
Dröff ik den Kiekschapp anmaken?,Darf ich den Fernseher anschalten?,
Dit Gebüüd is ook en Bänk.,Das Gebäude ist auch eine Bank.,
Wo goods afkennst du Tom?,Wie gut kennst du Tom?,
Alle wüllt blangen ehr sitten.,Alle wollen neben ihr sitzen.,
Frankriek harrn veel Kolonien in Afrika.,Frankreich hatte zahlreiche Kolonien in Afrika.,
Ik heff in Koenji wohnt.,Ich habe in Koenji gewohnt.,
Ik wees krank.,Ich war krank.,
Ik heff de Kinners süngen hört.,Ich habe die Kinder singen hören.,
De Mantel hett keen Taschen.,Der Mantel hat keine Taschen.,
Se smökt veele.,Sie raucht viel.,
Se leeg dat Kind sacht dal.,Sie legte das Kind sanft hin.,
Nadem hebbt wi em nich mehr sehn.,Seitdem haben wir ihn nicht mehr gesehen.,
Loop ich so hart.,Lauf nicht so schnell.,
Loop nich so hart.,Rennen Sie nicht so schnell!,
Wi hebbt noch nix ännert.,Wir haben noch nichts geändert.,
"Se deed in Tranen utbreken, as se de Noricht hören deed.","Sie brach in Tränen aus, als sie die Nachricht hörte.",
Wannehr kann ik di besöken?,Wann kann ich dich besuchen?,
He fohrt faken na ’t Butenland.,Er fährt oft ins Ausland.,
He levt ganz alleen in ’n Woold.,Er lebt ganz allein im Wald.,
Se eet Botterbrood.,Sie essen Butterbrote.,
"’Keene slöppt, de hungert nech.","Wer schläft, der hungert nicht.",
Footballspelers verdeent veel Geld.,Fußballspieler verdienen viel Geld.,
Ik seh nix!,Ich sehe nichts!,
Wat gest du mit mien Brill maakt? De wees vüör een Minuut noch huer.,Was hast du mit meiner Brille gemacht? Sie war vor einer Minute noch hier.,
De Mann keek mi an.,Der Mann blickte mich an.,
Et hät en lang Niërsen.,Sie hat eine lange Nase.,
He hett lang in Iesland wahnt.,Er hat lange in Island gewohnt.,
Se hett dor in ehr Dagbook över schreven.,Sie hat in ihrem Tagebuch darüber geschrieben.,
Tom is vüör en poor Daag starvt.,Tom ist vor ein paar Tagen gestorben.,
Den Knuust hebbt wi jümmer in ’e Melksupp brockt.,Den Brotkanten haben wir immer in eine Milchsuppe eingebrockt.,
Ik mag lege Kinner nich.,Ungezogene Kinder mag ich nicht.,
"Bet du dor wedder büst, bün ik al weg.","Bis du wieder zurück bist, bin ich schon gegangen.",
De Plant wasst överall von ’n Noorden bet na ’n Süden von Europa.,Diese Pflanze wächst sowohl in Nord- als auch in Südeuropa.,
He hett kuum Utsichten to winnen.,Er hat kaum Aussichten zu gewinnen.,
Mien Mudder kaakt temlich good.,Meine Mutter ist eine sehr gute Köchin.,
"Ik bün dat so wennt, vör ’t Fröhstück en Spazeergang to maken.","Ich habe die Angewohnheit, vor dem Frühstück einen Spaziergang zu machen.",
Ik heff dat för teihn Dollar köfft.,Ich habe es für zehn Dollar gekauft.,
Ik heff datt för tein Dollar kofft.,Ich habe das für zehn Dollar gekauft.,
Hebbt ji ehr sehen?,Habt ihr sie gesehen?,
De Teeketel kaakt.,Der Teekessel kocht.,
Ik bün en Künstler.,Ich bin ein Künstler.,
En Snurrboort wasst op ’t Övermuul.,Auf seiner Oberlippe wächst ein Schnurrbart.,
Düsse Jund itt keene Snökerkraam.,Dieser Junge isst keine Süßigkeiten.,
Miene Swager is vergangen Freedag dootbleven.,Mein Schwager ist vergangenen Freitag gestorben.,
Ik bün Maat in ’n Swemmvereen.,Ich bin Mitglied im Schwimmverein.,
Weten is Macht.,Wissen ist Macht.,
Snack mit mi!,Sprich mit mir!,
Ik heff di kriegen!,Hab dich!,
Vüör 200 Joht is Mozart dootbleven.,Vor 200 Jahren ist Mozart gestorben.,
Mozart is vör 200 Johr doodbleven.,Mozart ist vor 200 Jahren gestorben.,
Sünd ji mööd?,Seid ihr müde?,
He hett sik mit ’n Dag verdaan.,Er hat sich im Datum geirrt.,
Se hett keen Bröder.,Sie hat keine Brüder.,
He het mi üm Middernacht anropen.,Er hat mich um Mitternacht angerufen.,
"Kolumbus hett glöövt, dat he in Indien is.","Columbus glaubte, in Indien zu sein.",
Se mag Jazz un ik ook.,"Sie mag Jazz, und ich auch.",
De Engelsch-Ünnerricht füng halvig negen an.,Der Englischunterricht begann um 8:30 Uhr.,
Ik heff meist keene Geld bi mi.,Ich habe so gut wie kein Geld bei mir.,
Ik heff dat al köfft.,Ich habe es schon gekauft.,
Dit Book hört Ali to.,Dieses Buch gehört Ali.,
De Nacht is noch jung.,Die Nacht ist noch jung.,
Ik draag bi.,Ich trage bei.,
Röög di nicht.,Beweg dich nicht.,
Un nu?,Und jetzt?,
"Towielen is dat Leven de eenzige Lehrer oder Optrecker, de wat helpt.",Zuweilen ist das Leben der einzige erfolgreiche Lehrer oder Erzieher.,
Een Minuut hett sösstig Sekunnen.,Eine Minute hat sechzig Sekunden.,
"Ik verstah nich, worüm as dat allen nödig is.",Ich verstehe nicht warum all das nötig ist.,
In de Zitroon is Zitronensüür in.,Die Zitrone enthält Zitronensäure.,
In de Zitroon is Zitronensüür in.,In der Zitrone ist Zitronensäure drin.,
De eerste Utgaav is vüör tein Joht rutkamen.,Die erste Auflage wurde vor zehn Jahren herausgegeben.,
De eerste Utgaav is vör teihn Johr rutkamen.,Die erste Ausgabe ist vor zehn Jahren herausgekommen.,
He fohrt temlich hart.,Er fährt sehr schnell.,
Worüm hebbt ji blomen köfft?,Warum habt ihr Blumen gekauft?,
Mien Grootvader hett sneewitt Hoor.,Mein Großvater hat schneeweißes Haar.,
En Major steiht övers en Koptein.,Ein Major ist mehr als ein Hauptmann.,
In de Feern föhr ik na Frankriek.,In den Ferien fahre ich nach Frankreich.,
"De Krankmakers sünd to lütt, datt uns Ogen jem sehen köönt.","Die Erreger sind zu klein, um von unseren Augen gesehen werden zu können.",
Nöhm en Bad un gah denn na Bedd.,Nimm ein Bad und gehe dann ins Bett.,
Wies maal.,Zeig mal.,
Ik kaam ut ’n Goorn.,Ich komme aus dem Garten.,
Susan is vüör een Stünn gohn.,Susan ist vor einer Stunde gegangen.,
"Du schaßt di noch de Hannen verbrennt, wenn du keene Pottlappen odder Potthanschen bruukst!","Du wirst dir die Hände verbrennen, wenn du nicht einen Topflappen oder Topfhandschuhe verwendest!",
"De nix deit, de deit ok nix verkehrt.","Wer nichts macht, macht auch nichts falsch.",
Vörsichtig! Beetschen Hund!,Vorsichtig! Bissiger Hund!,
Deist du mi en Gefallen?,Tust du mir einen Gefallen?,
"Du hest so’n groten Kopp, un dor is nix drin!","Du hast so einen großen Kopf, und da ist nichts drin!",
Leevd is Schiet.,Liebe ist scheiße.,
Bring mi de Tiedschriften.,Bringe mir die Zeitschriften.,
Datt Land nüült sachten na ’n Stroom dal.,Das Land neigt sich sanft zum Fluss hinab.,
"As Marcus ankeem, deed ik toslapen.","Als Markus ankam, schlief ich.",
De beide Bröder sünd dootbleven.,Die beiden Brüder starben.,
He hau en Telg von ’n Boom af.,Er schlug einen Ast vom Baum ab.,
Woneem is de Busbahnhoff?,Wo ist der Busbahnhof?,
"De Sünn schient an ’n Dag, de Maand in ’e Nacht.","Die Sonne scheint tagsüber, der Mond nachts.",
"Nee, dat will ik nich.","Nein, das möchte ich nicht.",
Du wullt na’e Ukraine.,Du willst in die Ukraine.,
"Se frööh em, woneem Jessie wees.","Sie fragte ihn, wo Jessie war.",
Tom töövt buten op Ria.,Tom wartet draußen auf Maria.,
Sei hätt uppemucket.,Sie haben aufgemuckt.,
Sei hett uppemucket.,Sie haben aufbegehrt.,
Miene Tähn deit weh.,Mein Zahn tut weh.,
Düsse Klock hätt mi teihndusend Yen kost.,Diese Uhr kostete mich zehntausend Yen.,
Lat uns den Wiehnachtsboom dor henstellen.,Lass uns den Weihnachtsbaum dort hinstellen.,
Se hett en Musikers freet.,Sie hat einen Musiker geheiratet.,
Hebbt ji Kinners?,Habt ihr Kinder?,
Du musst op de Fraag antern.,Du musst die Frage beantworten.,
Köönt wi to Amerika nee seggen?,Können wir zu Amerika nein sagen?,
"He wüss nich, wat he seggen schull, un sweeg.","Weil er nicht wusste, was er sagen sollte, schwieg er.",
Elkeen Android is en Roboter.,Jeder Android ist ein Roboter.,
Wullt du mitkamen?,Möchtest du mitkommen?,
En Kind speelt Harp.,Ein Kind spielt Harfe.,
Huer is nix.,Hier ist nichts.,
Snackst du Spaansch?,Sprichst du Spanisch?,
Wi hebbt keen Tee.,Wir haben keinen Tee.,
"Kiek good to. Ik wies di, wo dat geiht.","Sieh genau hin! Ich zeige dir, wie es geht.",
Gummistevel sünd männigmaal wichtig.,Gummistiefel sind manchmal wichtig.,
Jümmerto utsnackt een.,Immer redet irgendwer.,
"He beed ehr, to vertellen, wo se datt Geld brukt het.","Er bat sie zu erzählen, wie sie das Geld ausgegeben hat.",
Ik estemeer ehr tæmlich.,Ich schätze sie sehr.,
"Ik weet, datt du nee seggen warrst.","Ich weiß, dass du nein sagen wirst.",
Bring mi en Glas Water.,Bring mir ein Glas Wasser.,
Ik heff Tom to’n Meddag inloden.,Ich habe Tom zum Mittagessen eingeladen.,
Du süst good ut mit korten Hoor.,Du siehst gut aus mit kurzen Haaren.,
He is as en Zebra mank Peer.,Er ist wie ein Zebra unter Pferden.,
Se is nich beter as en Deev.,Sie ist nicht besser als ein Dieb.,
Ik bün Engelsch-lehrer.,Ich bin Englischlehrer.,
Wat schall ik nu doon?,Was soll ich nun machen?,
"Se is neeschierig, ’keen ehr de Blomen tostüürt hett.","Sie ist neugierig, wer die Blumen gesandt hat.",
Waorüm ween ji?,Warum weint ihr?,
Ik verlaat mi op Tom.,Ich zähle auf Tom.,
An den Dag wees dat temlich störmsch.,An jenem Tag war es sehr stürmisch.,
Een Junge is gröttern as de anneren.,Ein Junge ist größer als die anderen.,
Dit Maol wull ik en Oog todrücken.,Dieses Mal werde ich ein Auge zudrücken.,
He deed de Katt Melk geven.,Er gab der Katze Milch.,
Use Nauberske was al wees bi n Frisör!,Unsere Nachbarin war schon wieder beim Friseur.,
"Ik heff nich höört, wat du seggt hest.","Ich habe nicht gehört, was du gesagt hast.",
Hebbt wi al Dingsdag?,Haben wir schon Dienstag?,
"De Katt mag Müüs, ik mag jem nich.","Die Katze mag Mäuse, ich mag sie nicht.",
Ik heff de ganze Nacht waak.,Ich war die ganze Nacht wach.,
Ik wees nülich in ’t Museum.,Ich war neulich im Museum.,
Ik heff en Satz an de Tafel schräven.,Ich habe einen Satz an die Tafel geschrieben.,
De Gedank tellt.,Der Gedanke zählt.,
Wi hebbt minner Snee as ans.,Wir haben weniger Schnee als sonst.,
Ik wull den grötter Koken.,Ich will den größeren Kuchen.,
Ik will den gröttern Koken.,Ich möchte den größeren Kuchen.,
Worüm sünd de Lüüd nich liekut?,Warum sind die Leute nicht geradeheraus?,
En Reis na ’n Maand in en Ruumschipp is nich länger en Droom.,Eine Reise zum Mond in einem Raumschiff ist nicht länger ein Traum.,
Woneem finn ik düsse Steen?,Wo finde ich diese Steine?,
Mi is dor ich na tomood.,Mir ist nicht danach zumute.,
Se hebbt den Hund Shiro dööpt.,Sie haben den Hund auf Shiro getauft.,
Wees bedankt för dat Geschenk.,Danke für das Geschenk.,
Weren de Finster tau?,Waren die Fenster geschlossen?,
"Planet sünd licht to kennen, dunn de glinstert nech so as Steerns.","Planeten sind leicht zu erkennen, denn sie funkeln nicht wie Sterne.",
"He seed, wi schullt de Snuut hollen.","Er sagte, wir sollen den Mund halten.",
Wo lat steihst du op?,Wie spät stehst du auf?,
De wichtigste Opgaav von en Pastoor is de Preddig in ’e Kerk.,Die Hauptaufgabe eines Pfarrers ist die Predigt in der Kirche.,
En Katteker baadt in ’n Diek.,Ein Eichhörnchen badet im Teich.,
Du kannst keen Peerd rieden.,Du kannst kein Pferd reiten.,
Wannehr hest du em tolest sehn?,Wann hast du ihn zum letzten Mal gesehen?,
Wannehr hess du em toletzt sehen?,Wann hast du ihn zuletzt gesehen?,
"Man to, eet en bäten Hummer!","Auf, iss etwas Hummer!",
Ik güng na ’t Krankenhuus üm na siene Gesundheit to frogen.,"Ich ging ins Krankenhaus, um nach seinem Gesundheitszustand zu fragen.",
He is in Frankriek tohuus.,Er ist zu Hause in Frankreich.,
Sett ehr keene Grappen in ’n Kopp.,Setz ihr keine Flausen in den Kopf.,
"Du schusst man na Huus gahn, ehr dat düüster warrn.","Du solltest nach Hause gehen, bevor es dunkel wird.",
We hebbt grade temlich veel to doon.,Wir sind gerade ziemlich beschäftigt.,
We hebbt grade temlich veel to doon.,Wir haben gerade ziemlich viel zu tun.,
De Wulken warrn düüsterer.,Die Wolken werden schwärzer.,
Mika hätt twe Fründinnen.,Mike hat zwei Freundinnen.,
"He hett twee Süstern, de all beid in Kyoto leevt.","Er hat zwei Schwestern, die alle beide in Kyoto leben.",
Ik heff meist nix kriegen.,Ich habe fast nichts bekommen.,
Ik harrn nix mit ehr to doot.,Ich hatte nichts mit ihr zu tun.,
Kunnst du en Peerd rieden?,Kannst du ein Pferd reiten?,
Wat gest du dor dann mit vüör?,Was hast du denn damit vor?,
Wi wullen gern en Sofa köpen.,Wir würden gerne ein Sofa kaufen.,
Tee sünner Ies.,Tee ohne Eis.,
He wees lieks rachter mi.,Er war direkt hinter mir.,
De Mann besöcht Moskau.,Der Mann besucht Moskau.,
Woveel köst de Wuddeln?,Wie viel kosten die Möhren?,
He het ehr en Hund kofft.,Er hat ihr einen Hund gekauft.,
Ik mag helle Klören.,Ich mag helle Farben.,
Dat Speel is wegen Regent afseggt worrn.,Das Spiel wurde wegen des Regens abgesagt.,
Wi bliebt bi uns Unkels.,Wir bleiben bei unserem Onkel.,
Ik wull mit di uttogahn.,Ich möchte mit dir ausgehen.,
"Wenn du datt nächste Mal bi mi kümmst, dunn wis ik di datt Book.","Wenn du das nächste Mal zu mir kommst, zeige ich dir das Buch.",
Op datt Schild steiht „Utgang“.,"Auf dem Schild steht ""Ausgang"".",
En Botterlicker is en utwussen Rupp.,Ein Schmetterling ist eine erwachsene Raupe.,
Dat maakt mi neeschierig.,Das macht mich neugierig.,
Du bruukst dien Schoh nich uttrecken.,Du brauchst deine Schuhe nicht auszuziehen.,
"Ik gah op ’n Boll, ook wenn di datt nicht gefallt.","Ich werde auf den Ball gehen, auch wenn dir das nicht gefällt.",
Politik röögt em ich an.,Politik lässt ihn kalt.,
Passt di datt?,Passt dir das?,
Se küsst em.,Sie küsst ihn.,
Ehr Huud is so witt as Snee.,Ihre Haut ist so weiß wie Schnee.,
Dor schall ik Tom und Rias nech bi helpen.,Ich soll Tom und Maria nicht dabei helfen.,
"Nee, Dank ok.","Nein, vielen Dank.",
Ik heff den Satz ännert un bedank mi.,Ich habe den Satz geändert und bedanke mich.,
Du böst en laigen Jungen.,Du bist ein böser Junge.,
He tekent lieke Lienen.,Er zeichnet gerade Linien.,
Vonmorgen hätt datt bi uns sniet.,Heute Morgen hat es bei uns geschneit.,
Wo groot schall de Koken dann wäsen?,Wie groß soll der Kuchen denn sein?,
Mien Hobby is Inköpen.,Mein Hobby ist shoppen.,
De Dezember hett eenundörtig Daag.,Der Dezember hat einunddreißig Tage.,
De Dezember het eenundörtig Daag.,Der Dezember hat 31 Tage.,
"Dat is en kolen Dag, also knööp dien Mantel to.","Es ist ein kalter Tag, also knöpf deinen Mantel zu.",
Hest du keen Aptiet?,Hast du keinen Appetit?,
Ik heff datt Schild nicht sehen.,Ich habe das Schild nicht gesehen.,
"Och je, den Dummbüdel harrn ik vergeten!","Ach ja, den Blödmann hatte ich vergessen!",
He speelt geern Football.,Er spielt gerne Fußball.,
"De Präsident wees wiss, dat dat en Krieg geven schull.","Der Präsident war sicher, dass es Krieg geben würde.",
