nds,de
Wat hett se mit all dat Geld maakt?,Was hat sie mit dem ganzen Geld gemacht?
Wult ji en Köpken Kofi?,Möchten Sie eine Tasse Kaffee?
Dat Bild lett mi an miene Kindheid denken.,Das Bild erinnert mich an meine Kindheit.
De lütte Steern dor is de hellst.,Der kleine Stern da ist der hellste.
Wat maakt joon Söhn?,Was macht euer Sohn?
He snackt gresig uckerwendsch.,Er spricht ein schreckliches Kauderwelsch.
Wat för en Steernteken hest du?,Was bist du für ein Sternzeichen?
Ik leev in Mailand.,Ich lebe in Mailand.
Binn dien Schoh to.,Binde deinen Schuh zu.
Exküsen bringt nix.,Entschuldigungen sind nutzlos.
Ik harr geern Appelsienensaft.,Ich hätte gerne einen Orangensaft.
Wo hannelt dat Book von?,Wovon handelt das Buch?
Kaam her.,Komm her!
Kaam her!,Komm her!
"Wi hebbt dat, wat wi bruken, nich kregen.","Wir haben das, was wir brauchten, nicht gekriegt."
Wat schall ik doon? Ik heff to nix Lust!,Was soll ich tun? Ich habe zu nichts Lust!
Dat Klima an de middellandsche See is temlich liedsaam.,Das mediterrane Klima ist sehr angenehm.
Tom is al jümmer anners as de anneren Kinner wäsen.,Tom war schon immer anders als die anderen Kinder.
De See is groot.,Der See ist groß.
Hier sünd fiev Dollar.,Hier sind fünf Dollar.
"Jo, dat is Anthony.","Ja, das ist Anthony."
"Ik nehm allens trügg, wat ik seggt heff.","Ich nehme alles zurück, was ich gesagt habe."
Tom is vun sien Peerd bäten worrn.,Tom ist von seinem Pferd gebissen worden.
Tom melk de Koh.,Tom melkte die Kuh.
Dat is schöön.,Es ist schön.
Ik bün Antonio.,Ich bin Antonio.
Woveel köst en halv Kilo?,Wie viel kostet ein halbes Kilo?
Dor sünd mehr as 50.000 Böker in disse Bökeree.,Es sind mehr als 50000 Bücher in dieser Bibliothek.
"Dat gefallt nüms, wenn achter sien Rügg slecht över em snackt warrt.","Niemandem gefällt es, wenn man hinter seinem Rücken schlecht über ihn redet."
Laat uns nu gahn!,Lasst uns jetzt gehen!
Inge hett en dicken Noors.,Inge hat einen dicken Hintern.
Du büst mien besten Fründ!,Du bist mein bester Freund!
Du büst mien besten Fründ.,Du bist mein bester Freund.
Ik wohn in Maastricht.,Ich wohne in Maastricht.
"Du musst ophören, di so dumm to beren.","Du musst aufhören, dich so dumm zu benehmen."
Ik laad di to ’n Sushi eten in.,Ich lade dich zum Sushiessen ein.
Se vertroot em mit ehr Geld.,Sie vertraut ihm mit ihrem Geld.
De Krieg weer toenn.,Der Krieg war zu Ende.
Ji snackt toveel.,Ihr redet zu viel.
"De Eer is en Planeet, keen Steern.","Die Erde ist ein Planet, kein Stern."
"Ik bün dat nich wennt, Kaffe ahn Sucker to drinken.","Ich bin es nicht gewohnt, Kaffee ohne Zucker zu trinken."
"Ik mag dat, Maschienen tohooptosetten.","Ich mag es, Maschinen zusammenzubauen."
Hett de Supp smeckt?,Hat die Suppe geschmeckt?
"Se hett em rümsnackt, ehr en Demantring to köpen.","Sie hat auf ihn eingeredet, ihr einen Diamantring zu kaufen."
Wo groot de Fleger is.,Wie groß das Flugzeug ist.
Se is maandags faken to laat in ’e School.,Montags kommt sie oft zu spät zur Schule.
En Reis na ’n Maand in en Ruumschipp is keen Droom mehr.,Eine Reise zum Mond in einem Raumschiff ist kein Traum mehr.
Dat Kind is mien Süster.,Das Kind ist meine Schwester.
Schriev em foorts!,Schreib sofort an ihn!
Ittst du Fleesch oder büst du Vegetarier?,"Isst du Fleisch, oder bist du Vegetarier?"
Du süst trurig ut.,Du siehst traurig aus.
"He wull ehr begööschen, aver se wull un wull nich opholen to wenen.","Er versuchte sie zu trösten, aber sie hörte nicht auf zu weinen."
Dat warrt sik nie ännern.,Das wird sich nie ändern.
Wi seht uns Klock dree.,Wir sehen uns um drei Uhr.
Ik heet Andrea.,Ich heiße Andrea.
’Keen höört disse Brill to?,Wem gehört diese Brille?
Kann ik dat sehn?,Kann ich das sehen?
Ria teek en Huus un en Boom.,Maria zeichnete ein Haus und einen Baum.
"Roop mi an, wenn ji wat finnt.","Ruf mich an, wenn ihr etwas findet."
Ik kaam nich good mit em ut.,Ich komme nicht gut mit ihm aus.
Wo geiht di dat?,Wie geht es dir?
Wo geiht di dat?,Wie geht’s dir?
Wat mookt de Kinner? Sloopt or speelt se?,Was machen die Kinder? Schlafen oder spielen sie?
De lüttste Kontinent is Australien.,Der kleinste Kontinent ist Australien.
De lüttste Kontinent is Australien.,Der kleinste Erdteil ist Australien.
In ’n Winter warrt dat fröh düüster.,Im Winter wird es früh dunkel.
De Naricht von sien Dood deed sik utspreden.,Die Information über seinen Tod verbreitete sich.
"Roop mi foorts an, wenn du em drapen hest.","Ruf mich sofort an, wenn Du ihn getroffen hast."
Em höört veer grote Buursteden in ’t Binnenland von ’n Staat São Paulo.,Ihm gehören vier große Bauernhöfe im Inneren des Staates São Paulo.
Wo faken foderst du de Fisch?,Wie häufig fütterst du die Fische?
Wo faken foderst du de Fisch?,Wie oft fütterst du die Fische?
Ik höör wat.,Ich höre etwas.
Ik heff all Böker wegsmeten.,Ich habe alle Bücher entsorgt.
Leevt disse Fisch noch?,Lebt dieser Fisch noch?
He hett sien Land för Geld verköfft.,Er hat für Geld sein Land verkauft.
Ik heff en Granaatappel.,Ich habe einen Granatapfel.
Ik bün praat to starven.,Ich bin bereit zu sterben.
Ik bün praat to starven.,Ich bin zu sterben bereit.
Wat meenst du dor mit?,Was meinst du damit?
Se deed em glieks kennen.,Sie hat ihn sofort erkannt.
He möök en Weltreis.,Er unternahm eine Weltreise.
Ik bün in Matsuyama boren un opwussen.,Ich bin in Matsuyama geboren und aufgewachsen.
Ik mag keen Sushi.,Ich mag kein Sushi.
De Bus is teihn Minuten to laat ankamen.,Der Bus hatte zehn Minuten Verspätung.
Dit Kniev hett mi good deent.,Das Messer hat mir gute Dienste geleistet.
En Roos is en Bloom un en Duuv is en Vagel.,Eine Rose ist eine Blume und eine Taube ist ein Vogel.
He is na ’t Stadion wesen.,Ich bin im Stadion gewesen.
"Tom is de gröttste Keerl, den ik miendaag sehn heff.","Tom ist der größte Mann, den ich jemals gesehen habe."
Wahnst du alleen?,Wohnst du allein?
Wi sünd Studenten.,Wir sind Studenten.
"Een is rood, dat annere witt.","Eins ist rot, das andere weiß."
Mien Dochter geiht to School.,Meine Tochter geht zur Schule.
Mien Dochter geiht to School.,Meine Tochter geht in die Schule.
Een kann keen twee Saken opmaal doon.,Man kann nicht zwei Dinge gleichzeitig tun.
Een kann keen twee Saken opmaal doon.,Man kann nicht zwei Dinge auf einmal tun.
Du büst ja keen lütten Tüffel!,Du bist ja kein kleiner Dummkopf!
Wat hett ehr so füünsch maakt?,Was hat sie so wütend gemacht?
He is ganz un gornich perfekt.,Er ist bei Weitem nicht perfekt.
Denn hebbt se SOS funkt.,Dann haben sie SOS gefunkt.
Wullt du noch en Appel?,Möchtest du noch einen Apfel?
Tom leed sik op ’n Rügg.,Tom legte sich auf den Rücken.
Se weer mit Knütten togang.,Sie war mit Stricken beschäftigt.
Se hebbt wi lang töven laten.,Sie haben mich lange warten lassen.
Büst du na ’n Dokter wesen?,Bist du beim Doktor gewesen?
Maak dat Licht an. Ik kann nix sehn.,Mach das Licht an! Ich kann sonst nichts sehen.
Ik bün vonmorgen Klock fiev opwaakt.,Ich bin heute früh um fünf Uhr aufgewacht.
Goden Dag!,Guten Tag!
Ik eet jüst Krabben.,Ich esse gerade Krabben.
Ik bün nich gegen Tetanus empt.,Ich bin nicht gegen Tetanus geimpft.
"Ik weer ganz vermöödt, kunn aver liekers nich toslapen.","Ich war todmüde, konnte aber trotzdem nicht einschlafen."
Tom is keen Englänner.,Tom ist kein Engländer.
He rückt den ganzen Dag na Schokolaad.,Er riecht den ganzen Tag Schokolade.
Wat büst du so gnatterig?,Was bist du so mürrisch?
Se hett en Geheemnis.,Sie hat ein Geheimnis.
Disse Pass gellt fiev Johr lang.,Dieser Pass ist fünf Jahre gültig.
"Hollywood is nich mehr, wat dat maal weer.","Hollywood ist nicht mehr, was es mal war."
Dröff ik en Foto von jo maken?,Darf ich ein Foto von euch machen?
Use Nauber hett sich en smucket Peerd kofft.,Unser Nachbar hat sich ein hübsches Pferd gekauft.
De Mann is naakd.,Der Mann ist nackt.
Is se weg?,Ist sie weg?
Se is mit em verlöövt.,Sie ist mit ihm verlobt.
Laat dat Eten nich anbrennen.,Lass das Essen nicht anbrennen.
He höllt sik för en groten Dichter.,Er hält sich für einen großen Dichter.
Kiekt jo de Weltkoort an.,Schaut die Weltkarte an.
Worüm büst du gnatterig?,Warum bist du so mürrisch?
He lehrt Dag un Nacht.,Er lernt Tag und Nacht.
Ik heff keen Bewies för dat Gegendeel.,Ich habe keinen Beweis für das Gegenteil.
"De Keller is dreckig, düüster un he stinkt.","Der Keller ist dreckig, dunkel, und er stinkt."
"Kann ik dat kriegen, wenn du dat nich mihr bruukst?","Kann ich das kriegen, wenn du das nicht mehr brauchst?"
"Se wull nich, dat he noch länger blifft.","Sie wollte nicht, dass er noch länger bleibt."
Wat is dien leevsten Romaan?,Was ist dein Lieblingsroman?
In mien Kopp hett dat jüst noch Sinn maakt!,In meinem Kopf hat es gerade noch Sinn gemacht!
"De Hand hett fiev Fingers: den Dumen, den Wiesfinger, den Middelfinger, den Ringfinger un den lütten Finger.","Die Hand hat fünf Finger: den Daumen, den Zeigefinger, den Mittelfinger, den Ringfinger und den kleinen Finger."
De Froonslüüd speelt Tennis.,Die Frauen spielen Tennis.
Ann hett en Barg Frünnen.,Ann hat eine Menge Freunde.
Is dat allens?,Ist das alles?
Dat is allens?,Das ist alles?
Dat is allens.,Das ist alles.
"Ik kenn een, de good Russ’sch snackt.","Ich kenne jemanden, der gut Russisch spricht."
Jane sütt önnig blied ut.,Jane sieht sehr glücklich aus.
"Denkt dor an, dat wi de Folgen von joon Hanneln arvt.","Denkt daran, dass ihr uns die Folgen eures Handelns hinterlasst."
Ik will na ’n Maand flegen.,Ich möchte zum Mond fliegen.
Ik heff nich alltoveel Geld.,Ich habe nicht zu viel Geld.
Verbaden Frücht smeckt good.,Verbotene Früchte schmecken süß.
Du schusst dat glieks doon.,Du solltest es sofort tun.
Du schusst dat glieks doon.,Du solltest das gleich machen.
Uns Ünnerricht fangt Viddel na söven an.,Unser Unterricht beginnt um 7:15 Uhr.
Dat sünd miene Böker.,Das sind meine Bücher.
Se kann em good namaken.,Sie kann ihn gut nachmachen.
Se kann em good namaken.,Sie kann ihn gut imitieren.
Ik heff mien Arbeid al trech.,Ich habe meine Arbeit schon erledigt.
"He weet, wat he seggt.","Er weiß, was er sagt."
Ik will dansen.,Ich will tanzen.
Ik heff en Termin bi ’n Dokter.,Ich habe einen Termin beim Arzt.
Dat weer en Löög.,Das war eine Lüge.
De pers’sche Spraak schall leven!,Es lebe die persische Sprache!
Se is en gode Melkkoh!,Sie ist eine gute Milchkuh!
Froonslüüd toeerst.,Die Frauen zuerst.
Wat snackst du för ’n Narrnkraam?,Was sprichst du für ein dummes Zeug?
Disse Stoffsuger maakt veel Larm.,Dieser Staubsauger macht viel Lärm.
Ik warr jo al heimlüchten.,Ich werde euch schon heimleuchten.
De Verenigten Staten sünd en groot Land.,Die Vereinigten Staaten sind ein großes Land.
Du musst mit dat Smöken ophören.,Du musst mit dem Rauchen aufhören.
Kummst du hier elk Dag her?,Kommst du hier jeden Tag her?
Mi is Water in’t Ohr kamen.,Mir ist Wasser ins Ohr gekommen.
De Dokter hett mien Strott ünnersöcht.,Der Arzt untersuchte meinen Rachen.
Elkeen hett dat Leed kennt.,Jeder kannte das Lied.
Hest du en Vörslag?,Hast du einen Vorschlag?
"Ik dach, he deed kamen.","Ich dachte, er würde kommen."
Deit Jüm dat leed?,Tut es Ihnen leid?
Verkehrt.,Falsch.
He kunn sowat nich doon.,Er konnte so etwas nicht tun.
Dat sünd söss Stünnen Fohrt von Sofia na Varna.,Es ist eine sechsstündige Fahrt von Sofia nach Varna.
Ik bün krank.,Ich bin krank.
Nüms kann vör ’n Dood utkniepen.,Niemand kann den Tod vermeiden.
Nüms kann vör ’n Dood utkniepen.,Niemand kann vor dem Tod kneifen.
Jessie hett de Inladen glieks annahmen.,Jessie nahm die Einladung gleich an.
"Se hett em all dat Geld geven, wat se harr.","Sie hat ihm all das Geld gegeben, was sie hatte."
He bekeek em in ’n Spegel.,Er betrachtete ihn im Spiegel.
He güng dor wöterig von af.,Er ging wütend fort.
En Banaan smeckt lecker.,Eine Banane ist köstlich.
Du heckst wat ut.,Du heckst etwas aus.
Hest du von Tom sien Unfall höört?,Hast du von Toms Unfall gehört?
"Botter, Brood un grönen Kees; ’keen dat nich seggen kann, is keen rechten Frees.","Butter, Brot und grüner Käse: wer das nicht sagen kann, ist kein echter Friese."
"Laat mi loos, du drückst mi de Luft af.","Lasse mich los, du erstickst mich."
"Ik heff fiev Söhns. Twee sünd Inschenör, een Schoolmeester un de annern beiden sünd Studenten.","Ich habe fünf Söhne. Zwei sind Ingenieure, einer ist Lehrer und die restlichen beiden sind Studenten."
"Ik kann mien Hannen op ’n Bodden leggen, ahn mien Knee to bögen.","Ich kann meine Handflächen auf den Boden setzen, ohne meine Knie zu beugen."
Willkamen op de Websteed von ’t Tatoeba-Projekt.,Willkommen auf der Webseite des Tatoeba-Projekts.
Is he jüst an ’t Lehren?,Ist er gerade am Lernen?
Du büst en beten lütter as Tom.,Du bist etwas kleiner als Tom.
Kannst du üm negen kamen?,Kannst du um neun kommen?
"Ik keem to laat, üm sien Reed to hören.","Ich kam zu spät, um seine Rede zu hören."
Ik lehr Koreaansch.,Ich lerne Koreanisch.
Hest du dat ook in annere Klören?,Hast du das auch in anderen Farben?
Se hett keen Antwoord von em kregen.,Sie hat keine Antwort von ihm bekommen.
"He harr Fleesch, ik harr man en Knaken.","Er hatte Fleisch, ich hatte nur einen Knochen."
Wi harrn unverwacht Besöök.,Wir hatten unerwarteten Besuch.
"Ach, dat Enn gefüll mi gornich.","Ach, das Ende gefiel mir gar nicht."
Dor geiht de Welt nich von ünner.,Davon geht die Welt nicht unter.
Normalerwies gah ik to Foot na School.,In der Regel gehe ich zu Fuß zur Schule.
Wo faken süst du ehr?,Wie oft siehst du sie?
Ik kööp mien Söcken jümmer poorwies.,Ich kaufe meine Socken immer paarweise.
Sett jem op de Backplaat un smeer jem mit Eiwitt in.,Lege sie auf ein Backblech und schmiere sie mit Eiweiß an.
Ik kann so nich leven.,Ich kann so nicht leben.
So kann ik nich leven.,So kann ich nicht leben.
Wi sünd mööd un hebbt Döst.,Wir sind müde und haben Durst.
Ik heff den Schoolmeester över de Straat gahn sehn.,Ich sah den Lehrer über die Straße gehen.
"Vergitt nich, Melk to köpen!","Vergiss nicht, Milch zu kaufen!"
"Dat is jüst dat, wat ik wull.","Das ist genau das, was ich wollte."
Ik harr geern wat to drinken.,Ich hätte gern etwas zu trinken.
Ria hett ehr Süster en Gaav köfft.,Maria hat ihrer Schwester ein Geschenk gekauft.
"Enn good, allens good.","Ende gut, alles gut."
He is twee Toll grötter as ik.,Er ist fünf Zentimeter größer als ich.
Woneem is dat Museum?,Wo ist das Museum?
Wo goot hest du Tom kennt?,Wie gut kanntest du Tom?
Dröff ik den Kiekschapp anmaken?,Darf ich den Fernseher anschalten?
Dit Gebüüd is ook en Bank.,Das Gebäude ist auch eine Bank.
Wo good kennst du Tom?,Wie gut kennst du Tom?
All wüllt blangen ehr sitten.,Alle wollen neben ihr sitzen.
Frankriek harr veel Kolonien in Afrika.,Frankreich hatte zahlreiche Kolonien in Afrika.
Ik heff in Koenji wahnt.,Ich habe in Koenji gewohnt.
Ik weer krank.,Ich war krank.
Ik heff de Kinner singen höört.,Ich habe die Kinder singen hören.
De Mantel hett keen Taschen.,Der Mantel hat keine Taschen.
Se smöökt veel.,Sie raucht viel.
Se leed dat Kind sachten dal.,Sie legte das Kind sanft hin.
Nadem hebbt wi em nich mehr sehn.,Seitdem haben wir ihn nicht mehr gesehen.
Loop nich so hart.,Lauf nicht so schnell.
Loop nich so hart.,Rennen Sie nicht so schnell!
Wi hebbt noch nix ännert.,Wir haben noch nichts geändert.
"Se deed in Tranen utbreken, as se de Naricht hören deed.","Sie brach in Tränen aus, als sie die Nachricht hörte."
Wannehr kann ik di besöken?,Wann kann ich dich besuchen?
He föhrt faken na ’t Butenland.,Er fährt oft ins Ausland.
He leevt ganz alleen in ’n Woold.,Er lebt ganz allein im Wald.
Se eet Botterbrood.,Sie essen Butterbrote.
"’Keen slöppt, de hungert nich.","Wer schläft, der hungert nicht."
Footballspelers verdeent veel Geld.,Fußballspieler verdienen viel Geld.
Ik seh nix!,Ich sehe nichts!
Wat hest du mit miene Brill maakt? De weer vör een Minuut noch hier.,Was hast du mit meiner Brille gemacht? Sie war vor einer Minute noch hier.
De Mann keek mi an.,Der Mann blickte mich an.
Et hät en lange Niërsen.,Sie hat eine lange Nase.
He hett lang in Iesland wahnt.,Er hat lange in Island gewohnt.
Se hett dor in ehr Daagbook över schreven.,Sie hat in ihrem Tagebuch darüber geschrieben.
Tom is vör en poor Daag starven.,Tom ist vor ein paar Tagen gestorben.
Den Knuust hebbt wi jümmer in ’e Melksupp brockt.,Den Brotkanten haben wir immer in eine Milchsuppe eingebrockt.
Ik mag lege Kinner nich.,Ungezogene Kinder mag ich nicht.
"Bet du dor wedder büst, bün ik al weg.","Bis du wieder zurück bist, bin ich schon gegangen."
De Plant wasst överall von ’n Noorden bet na ’n Süden von Europa.,Diese Pflanze wächst sowohl in Nord- als auch in Südeuropa.
He hett kuum Utsichten to winnen.,Er hat kaum Aussichten zu gewinnen.
Miene Mudder kaakt temlich good.,Meine Mutter ist eine sehr gute Köchin.
"Ik bün dat so wennt, vör ’t Fröhstück en Spazeergang to maken.","Ich habe die Angewohnheit, vor dem Frühstück einen Spaziergang zu machen."
Ik heff dat för teihn Dollar köfft.,Ich habe es für zehn Dollar gekauft.
Ik heff dat för teihn Dollar köfft.,Ich habe das für zehn Dollar gekauft.
Hebbt ji ehr sehn?,Habt ihr sie gesehen?
De Teeketel kaakt.,Der Teekessel kocht.
Ik bün en Künstler.,Ich bin ein Künstler.
En Snurrboort wasst op ’t Övermuul.,Auf seiner Oberlippe wächst ein Schnurrbart.
Disse Jung itt keen Snökerkraam.,Dieser Junge isst keine Süßigkeiten.
Mien Swager is vergangen Freedag doodbleven.,Mein Schwager ist vergangenen Freitag gestorben.
Ik bün Maat in ’n Swemmvereen.,Ich bin Mitglied im Schwimmverein.
Weten is Macht.,Wissen ist Macht.
Snack mit mi!,Sprich mit mir!
Ik heff di kregen!,Hab dich!
Vör 200 Johr is Mozart doodbleven.,Vor 200 Jahren ist Mozart gestorben.
Mozart is vör 200 Johr doodbleven.,Mozart ist vor 200 Jahren gestorben.
Sünd ji mööd?,Seid ihr müde?
He hett sik mit ’n Dag verdaan.,Er hat sich im Datum geirrt.
Se hett keen Bröder.,Sie hat keine Brüder.
He hett mi üm Middernacht anropen.,Er hat mich um Mitternacht angerufen.
"Kolumbus hett glöövt, dat he in Indien is.","Columbus glaubte, in Indien zu sein."
Se mag Jazz un ik ook.,"Sie mag Jazz, und ich auch."
De Engelsch-Ünnerricht füng halvig negen an.,Der Englischunterricht begann um 8:30 Uhr.
Ik heff meist keen Geld bi mi.,Ich habe so gut wie kein Geld bei mir.
Ik heff dat al köfft.,Ich habe es schon gekauft.
Dit Book höört Ali to.,Dieses Buch gehört Ali.
De Nacht is noch jung.,Die Nacht ist noch jung.
Ik draag bi.,Ich trage bei.
Röög di nich.,Beweg dich nicht.
Un nu?,Und jetzt?
"Towielen is dat Leven de eenzigst Lehrer oder Optrecker, de wat helpt.",Zuweilen ist das Leben der einzige erfolgreiche Lehrer oder Erzieher.
